chr,start,end,label
chr1,399,898,0
chr1,2037,2536,0
chr1,3108,3607,0
chr1,4576,5075,0
chr1,30781,31280,1
chr1,70170,70669,1
chr1,124264,124763,1
chr1,132650,133149,0
chr1,159903,160402,1
chr1,175911,176410,1
chr1,229027,229526,0
chr2,6326,6825,0
chr2,7915,8414,0
chr2,8800,9299,0
chr2,15584,16083,0
chr2,21466,21965,0
chr2,23619,24118,0
chr2,24527,25026,0
chr2,28813,29312,1
chr2,33805,34304,0
chr2,35043,35542,0
chr2,36938,37437,0
chr2,38577,39076,1
chr2,62936,63435,1
chr2,93374,93873,1
chr2,169918,170417,1
chr2,177513,178012,1
chr2,237464,237963,1
chr2,237984,238483,0
chr2,254639,255138,1
chr2,325944,326443,1
chr2,380702,381201,0
chr2,407652,408151,1
chr2,417729,418228,1
chr2,458288,458787,0
chr2,486613,487112,1
chr2,523094,523593,0
chr2,591237,591736,1
chr2,599681,600180,0
chr2,622494,622993,1
chr2,631817,632316,1
chr2,664596,665095,0
chr2,704125,704624,1
chr2,720596,721095,1
chr2,741352,741851,1
chr2,773883,774382,1
chr2,791967,792466,1
chr3,929,1428,0
chr3,3789,4288,0
chr3,4633,5132,0
chr3,7324,7823,0
chr3,7989,8488,0
chr3,8595,9094,0
chr3,9153,9652,0
chr3,10943,11442,1
chr3,12936,13435,0
chr3,13769,14268,0
chr3,14369,14868,1
chr3,14744,15243,1
chr3,30183,30682,1
chr3,37702,38201,0
chr3,41579,42078,0
chr3,50266,50765,0
chr3,74372,74871,1
chr3,78512,79011,0
chr3,120420,120919,0
chr3,131914,132413,1
chr3,194189,194688,1
chr3,197122,197621,1
chr3,224719,225218,1
chr3,272798,273297,1
chr3,292488,292987,1
chr4,786,1285,0
chr4,3068,3567,0
chr4,4391,4890,0
chr4,5063,5562,0
chr4,8492,8991,0
chr4,11576,12075,0
chr4,14312,14811,0
chr4,15368,15867,1
chr4,15958,16457,0
chr4,16021,16520,0
chr4,18312,18811,0
chr4,21390,21889,0
chr4,22041,22540,0
chr4,25603,26102,0
chr4,26343,26842,0
chr4,27066,27565,0
chr4,28957,29456,0
chr4,31850,32349,0
chr4,36550,37049,0
chr4,38250,38749,0
chr4,39233,39732,0
chr4,40239,40738,0
chr4,42201,42700,0
chr4,43555,44054,0
chr4,46051,46550,1
chr4,50282,50781,0
chr4,54045,54544,0
chr4,56709,57208,0
chr4,123473,123972,1
chr4,137353,137852,1
chr4,157737,158236,1
chr4,212322,212821,1
chr4,232121,232620,1
chr4,235710,236209,1
chr4,253591,254090,1
chr4,316683,317182,1
chr4,326514,327013,0
chr4,329341,329840,1
chr4,346891,347390,0
chr4,356629,357128,0
chr4,357224,357723,0
chr4,407982,408481,1
chr4,412872,413371,0
chr4,434958,435457,1
chr4,462286,462785,1
chr4,482053,482552,0
chr4,483669,484168,1
chr4,505174,505673,1
chr4,554973,555472,1
chr4,561338,561837,0
chr4,567401,567900,1
chr4,639744,640243,1
chr4,690150,690649,0
chr4,702845,703344,1
chr4,748222,748721,1
chr4,753002,753501,1
chr4,806042,806541,1
chr4,913724,914223,1
chr4,919283,919782,0
chr4,921545,922044,1
chr4,937645,938144,0
chr4,1016585,1017084,1
chr4,1057669,1058168,1
chr4,1070279,1070778,0
chr4,1080956,1081455,0
chr4,1109889,1110388,1
chr4,1130659,1131158,1
chr4,1159230,1159729,1
chr4,1165836,1166335,1
chr4,1240616,1241115,1
chr4,1276169,1276668,1
chr4,1302381,1302880,1
chr4,1348865,1349364,0
chr4,1353297,1353796,1
chr4,1385148,1385647,1
chr4,1404081,1404580,1
chr4,1461731,1462230,1
chr4,1486686,1487185,1
chr5,6269,6768,0
chr5,7784,8283,0
chr5,10076,10575,0
chr5,10988,11487,0
chr5,11705,12204,1
chr5,14524,15023,0
chr5,15908,16407,0
chr5,19196,19695,0
chr5,21234,21733,0
chr5,22798,23297,0
chr5,23402,23901,0
chr5,24778,25277,0
chr5,59238,59737,1
chr5,93793,94292,1
chr5,138832,139331,0
chr5,145432,145931,1
chr5,173489,173988,1
chr5,192458,192957,1
chr5,212272,212771,1
chr5,220921,221420,0
chr5,259652,260151,0
chr5,268724,269223,0
chr5,276036,276535,1
chr5,278042,278541,1
chr5,287337,287836,1
chr5,301563,302062,1
chr5,305618,306117,0
chr5,321434,321933,0
chr5,353411,353910,1
chr5,406620,407119,1
chr5,407601,408100,0
chr5,434175,434674,0
chr5,438867,439366,1
chr5,442377,442876,1
chr5,449735,450234,0
chr5,520711,521210,1
chr5,549543,550042,1
chr6,5277,5776,0
chr6,7114,7613,0
chr6,7194,7693,0
chr6,8526,9025,0
chr6,10655,11154,0
chr6,14269,14768,0
chr6,17682,18181,0
chr6,68487,68986,1
chr6,104320,104819,1
chr6,118454,118953,1
chr6,127603,128102,1
chr6,135585,136084,1
chr6,164891,165390,0
chr6,167552,168051,1
chr6,199107,199606,1
chr6,216224,216723,1
chr6,253308,253807,1
chr6,256090,256589,1
chr7,303,802,0
chr7,1961,2460,0
chr7,2476,2975,0
chr7,6415,6914,0
chr7,7462,7961,0
chr7,9313,9812,0
chr7,14257,14756,0
chr7,16544,17043,0
chr7,17626,18125,1
chr7,18280,18779,0
chr7,19844,20343,0
chr7,20406,20905,0
chr7,22072,22571,0
chr7,25442,25941,0
chr7,64222,64721,1
chr7,111835,112334,1
chr7,112402,112901,0
chr7,117466,117965,1
chr7,145220,145719,0
chr7,149318,149817,0
chr7,163153,163652,1
chr7,170262,170761,0
chr7,187225,187724,1
chr7,196479,196978,0
chr7,203875,204374,1
chr7,231509,232008,1
chr7,240948,241447,1
chr7,247992,248491,0
chr7,273946,274445,0
chr7,285755,286254,1
chr7,352680,353179,1
chr7,361603,362102,0
chr7,388609,389108,1
chr7,420932,421431,1
chr7,484766,485265,1
chr7,544892,545391,0
chr7,568312,568811,1
chr7,574585,575084,1
chr7,607176,607675,1
chr7,653594,654093,1
chr7,659671,660170,1
chr7,698361,698860,0
chr7,715109,715608,1
chr7,728003,728502,0
chr7,777774,778273,1
chr7,888293,888792,1
chr7,929133,929632,0
chr7,944961,945460,0
chr7,977651,978150,1
chr7,990773,991272,0
chr7,999350,999849,1
chr7,1002110,1002609,1
chr7,1063247,1063746,1
chr8,5211,5710,0
chr8,7360,7859,1
chr8,7897,8396,0
chr8,10710,11209,0
chr8,11594,12093,0
chr8,13119,13618,0
chr8,15422,15921,0
chr8,15929,16428,0
chr8,16633,17132,0
chr8,17218,17717,0
chr8,22846,23345,0
chr8,32549,33048,0
chr8,32747,33246,0
chr8,34735,35234,0
chr8,45582,46081,1
chr8,64009,64508,1
chr8,94701,95200,1
chr8,111283,111782,1
chr8,133140,133639,1
chr8,168323,168822,1
chr8,245498,245997,1
chr8,282540,283039,0
chr8,359441,359940,1
chr8,391984,392483,1
chr8,406010,406509,1
chr8,447524,448023,1
chr8,474305,474804,1
chr8,501626,502125,1
chr8,535393,535892,1
chr8,555958,556457,1
chr9,5540,6039,0
chr9,7721,8220,0
chr9,8436,8935,0
chr9,8985,9484,0
chr9,14265,14764,0
chr9,16128,16627,0
chr9,19059,19558,0
chr9,22588,23087,0
chr9,26531,27030,0
chr9,27764,28263,0
chr9,27822,28321,0
chr9,33332,33831,1
chr9,73778,74277,1
chr9,80058,80557,1
chr9,105737,106236,1
chr9,111073,111572,0
chr9,136053,136552,1
chr9,162923,163422,1
chr9,174945,175444,1
chr9,214605,215104,1
chr9,245516,246015,1
chr9,247346,247845,1
chr9,310583,311082,1
chr9,341748,342247,1
chr9,357146,357645,1
chr9,379823,380322,0
chr9,393575,394074,0
chr9,411574,412073,1
chr9,432496,432995,1
chr10,5814,6313,0
chr10,7444,7943,1
chr10,7962,8461,0
chr10,8532,9031,0
chr10,14343,14842,0
chr10,16123,16622,0
chr10,19025,19524,0
chr10,23661,24160,1
chr10,66053,66552,0
chr10,67467,67966,1
chr10,99300,99799,1
chr10,109458,109957,0
chr10,161412,161911,1
chr10,228244,228743,1
chr10,240444,240943,0
chr10,241539,242038,0
chr10,298469,298968,1
chr10,337293,337792,0
chr10,374470,374969,1
chr10,393638,394137,0
chr10,442190,442689,1
chr10,445030,445529,0
chr10,683325,683824,1
chr11,641,1140,0
chr11,1261,1760,0
chr11,3189,3688,0
chr11,4503,5002,0
chr11,15420,15919,0
chr11,15963,16462,0
chr11,42095,42594,1
chr11,55474,55973,1
chr11,98190,98689,1
chr11,145420,145919,1
chr11,152848,153347,1
chr11,167457,167956,0
chr11,195972,196471,1
chr11,302130,302629,1
chr11,329738,330237,0
chr11,364944,365443,0
chr11,444560,445059,1
chr11,448075,448574,0
chr11,514473,514972,0
chr11,517004,517503,0
chr11,530066,530565,1
chr11,581253,581752,1
chr11,642303,642802,1
chr12,75,574,0
chr12,5415,5914,0
chr12,11607,12106,0
chr12,12698,13197,0
chr12,14360,14859,0
chr12,23112,23611,0
chr12,24159,24658,0
chr12,30062,30561,0
chr12,31013,31512,0
chr12,35051,35550,0
chr12,36340,36839,0
chr12,40017,40516,0
chr12,40715,41214,0
chr12,41614,42113,0
chr12,46645,47144,0
chr12,47218,47717,0
chr12,51759,52258,1
chr12,76708,77207,1
chr12,91289,91788,1
chr12,93162,93661,1
chr12,156447,156946,1
chr12,231081,231580,1
chr12,243492,243991,1
chr12,289182,289681,1
chr12,343555,344054,1
chr12,372939,373438,1
chr12,412582,413081,1
chr12,450454,450953,1
chr12,458798,459297,1
chr12,512642,513141,1
chr12,602888,603387,1
chr12,622642,623141,1
chr12,642989,643488,0
chr12,644932,645431,1
chr12,659804,660303,1
chr12,687244,687743,1
chr12,744837,745336,1
chr12,793961,794460,1
chr12,821839,822338,1
chr12,888435,888934,1
chr12,928050,928549,1
chr12,947885,948384,1
chr12,992856,993355,0
chr12,1007053,1007552,1
chr12,1013752,1014251,1
chr12,1059481,1059980,1
chr13,164,663,0
chr13,6158,6657,0
chr13,8378,8877,0
chr13,13944,14443,0
chr13,15027,15526,0
chr13,18512,19011,0
chr13,21657,22156,0
chr13,23089,23588,0
chr13,26192,26691,0
chr13,26714,27213,0
chr13,27681,28180,0
chr13,29992,30491,0
chr13,31465,31964,1
chr13,33689,34188,0
chr13,39021,39520,0
chr13,39916,40415,1
chr13,41325,41824,0
chr13,41869,42368,0
chr13,43824,44323,0
chr13,44434,44933,0
chr13,46503,47002,0
chr13,49645,50144,1
chr13,54427,54926,0
chr13,73874,74373,1
chr13,86677,87176,0
chr13,94036,94535,1
chr13,137220,137719,1
chr13,146835,147334,0
chr13,158800,159299,1
chr13,183640,184139,1
chr13,261295,261794,0
chr13,262818,263317,1
chr13,277204,277703,0
chr13,286607,287106,1
chr13,370916,371415,1
chr13,432850,433349,1
chr13,465797,466296,0
chr13,468091,468590,1
chr13,535438,535937,1
chr13,554359,554858,1
chr13,586133,586632,0
chr13,611222,611721,1
chr13,634250,634749,1
chr13,649162,649661,1
chr13,688752,689251,1
chr13,737614,738113,0
chr13,758220,758719,1
chr13,772380,772879,1
chr13,804849,805348,1
chr13,815136,815635,1
chr13,865255,865754,1
chr13,878618,879117,1
chr13,897768,898267,1
chr14,110,609,0
chr14,6910,7409,0
chr14,9213,9712,0
chr14,10125,10624,0
chr14,14469,14968,0
chr14,15668,16167,0
chr14,19070,19569,0
chr14,19592,20091,0
chr14,23367,23866,0
chr14,26576,27075,0
chr14,28300,28799,1
chr14,32994,33493,0
chr14,33846,34345,0
chr14,36578,37077,0
chr14,38297,38796,0
chr14,61415,61914,1
chr14,64632,65131,0
chr14,89460,89959,1
chr14,126488,126987,1
chr14,169340,169839,1
chr14,195801,196300,1
chr14,250121,250620,1
chr14,279777,280276,1
chr14,321889,322388,1
chr14,352500,352999,1
chr14,427242,427741,0
chr14,449230,449729,1
chr14,479218,479717,0
chr14,482994,483493,0
chr14,498928,499427,1
chr14,545881,546380,1
chr14,546405,546904,0
chr14,560913,561412,1
chr14,609370,609869,1
chr14,627751,628250,0
chr14,635443,635942,1
chr14,691435,691934,1
chr14,713642,714141,1
chr14,738528,739027,1
chr14,764001,764500,1
chr15,784,1283,0
chr15,3962,4461,0
chr15,10212,10711,0
chr15,10799,11298,0
chr15,11456,11955,0
chr15,13040,13539,0
chr15,13710,14209,0
chr15,15878,16377,0
chr15,17444,17943,0
chr15,24681,25180,0
chr15,26756,27255,0
chr15,28537,29036,0
chr15,32203,32702,0
chr15,35529,36028,1
chr15,38604,39103,0
chr15,40997,41496,0
chr15,72633,73132,1
chr15,85179,85678,1
chr15,113648,114147,1
chr15,154968,155467,1
chr15,166909,167408,1
chr15,233562,234061,0
chr15,277482,277981,1
chr15,308968,309467,1
chr15,337119,337618,1
chr15,436597,437096,1
chr15,479248,479747,0
chr15,489631,490130,1
chr15,497113,497612,1
chr15,520541,521040,1
chr15,526969,527468,0
chr15,544189,544688,0
chr15,600831,601330,1
chr15,609071,609570,0
chr15,656432,656931,1
chr15,681112,681611,1
chr15,715289,715788,0
chr15,729732,730231,1
chr15,766442,766941,1
chr15,783090,783589,1
chr15,843265,843764,0
chr15,854735,855234,1
