chrom	start	end	label
chr1	809700	809799	1
chr1	835400	835499	1
chr1	838700	838999	1
chr1	839400	839499	1
chr1	846100	846399	1
chr1	847000	847199	1
chr1	848400	848899	1
chr1	851300	851699	1
chr1	854500	854799	1
chr1	864800	864899	1
chr1	866900	867199	1
chr1	872100	872499	1
chr1	873500	873999	1
chr1	874700	874799	1
chr1	876100	876199	1
chr1	882900	882999	1
chr1	883700	884099	1
chr1	884800	884999	1
chr1	889200	889299	1
chr1	893100	893399	1
chr1	894000	894099	1
chr1	895600	895699	1
chr1	900300	900499	1
chr1	901000	901199	1
chr1	903200	903299	1
chr1	941100	941499	1
chr1	942000	942099	1
chr1	959400	959599	1
chr1	974100	974599	1
chr1	980200	980699	1
chr1	983100	983599	1
chr1	987100	987299	1
chr1	1007900	1008199	1
chr1	1009800	1010099	1
chr1	1015800	1015999	1
chr1	1019500	1019699	1
chr1	1021000	1021199	1
chr1	1023200	1023499	1
chr1	1042700	1042799	1
chr1	1043800	1043999	1
chr1	1050400	1050699	1
chr1	1068000	1068099	1
chr1	1092100	1092599	1
chr1	1096200	1096599	1
chr1	1101300	1101599	1
chr1	1104400	1104599	1
chr1	1105700	1105799	1
chr1	1119800	1119999	1
chr1	1134700	1134899	1
chr1	1135800	1135999	1
chr1	1140000	1140399	1
chr1	1146200	1146499	1
chr1	1147700	1147899	1
chr1	1151700	1152099	1
chr1	1163200	1163399	1
chr1	1163900	1164399	1
chr1	1175800	1176099	1
chr1	1177600	1177899	1
chr1	1192900	1193299	1
chr1	1194900	1195199	1
chr1	1206000	1206499	1
chr1	1220000	1220299	1
chr1	1223500	1223699	1
chr1	1226300	1226499	1
chr1	1230300	1230399	1
chr1	1241500	1241599	1
chr1	1249900	1249999	1
chr1	1255500	1255999	1
chr1	1262200	1262299	1
chr1	1268800	1269099	1
chr1	1269700	1270199	1
chr1	1272500	1272999	1
chr1	1279300	1279599	1
chr1	1306800	1307099	1
chr1	1333800	1333899	1
chr1	1335800	1336099	1
chr1	1336500	1336999	1
chr1	1367600	1367799	1
chr1	1371500	1371899	1
chr1	1375700	1375899	1
chr1	1398300	1398599	1
chr1	1430900	1430999	1
chr1	1469800	1470199	1
chr1	1474100	1474299	1
chr1	1536400	1536699	1
chr1	1540700	1541199	1
chr1	1552000	1552199	1
chr1	1559600	1559699	1
chr1	1561200	1561599	1
chr1	1563000	1563499	1
chr1	1691400	1691499	1
chr1	1825100	1825399	1
chr1	1847300	1847399	1
chr1	1858900	1859199	1
chr1	1859800	1860299	1
chr1	1873200	1873299	1
chr1	1886700	1886999	1
chr1	1887700	1887899	1
chr1	1889400	1889599	1
chr1	1890100	1890299	1
chr1	1901700	1901999	1
chr1	1906200	1906299	1
chr1	1913300	1913699	1
chr1	1963400	1963499	1
chr1	1983600	1983799	1
chr1	1984100	1984299	1
chr1	2004100	2004599	1
chr1	2024700	2024899	1
chr1	2028700	2029099	1
chr1	2037700	2037799	1
chr1	2038900	2039199	1
chr1	2079900	2079999	1
chr1	2099600	2099999	1
