chr,start,end,label
1,3534,4033,0
1,5948,6447,0
1,17686,18185,0
1,30781,31280,1
1,36766,37265,0
1,70170,70669,1
1,92775,93274,0
1,124264,124763,1
1,159903,160402,1
1,175911,176410,1
2,28813,29312,1
2,38577,39076,1
2,61632,62131,0
2,62936,63435,1
2,70898,71397,0
2,93374,93873,1
2,94656,95155,0
2,155806,156305,0
2,169918,170417,1
2,174207,174706,0
2,177513,178012,1
2,182287,182786,0
2,198160,198659,1
2,219210,219709,0
2,226618,227117,0
2,237464,237963,1
2,241609,242108,0
2,254639,255138,1
2,269950,270449,0
2,302142,302641,0
2,317468,317967,0
2,325944,326443,1
2,326462,326961,0
2,367430,367929,0
2,407652,408151,1
2,417729,418228,1
2,477298,477797,0
2,477842,478341,0
2,486613,487112,1
2,487196,487695,0
2,529243,529742,0
2,591237,591736,1
2,597834,598333,0
2,622494,622993,1
2,631817,632316,1
2,704125,704624,1
2,720596,721095,1
2,741352,741851,1
2,747780,748279,0
2,757125,757624,1
2,773883,774382,1
2,791967,792466,1
2,802379,802878,0
2,805077,805576,0
3,10943,11442,1
3,14369,14868,1
3,14744,15243,1
3,30183,30682,1
3,36010,36509,0
3,43828,44327,0
3,66594,67093,0
3,74372,74871,1
3,84481,84980,0
3,131914,132413,1
3,164838,165337,0
3,185253,185752,0
3,193423,193922,0
3,194189,194688,1
3,197122,197621,1
3,224719,225218,1
3,242895,243394,0
3,250951,251450,0
3,268759,269258,0
3,272798,273297,1
3,290291,290790,0
3,292488,292987,1
4,15368,15867,1
4,18867,19366,0
4,46051,46550,1
4,71511,72010,0
4,76768,77267,0
4,78514,79013,0
4,85875,86374,1
4,123473,123972,1
4,137353,137852,1
4,157737,158236,1
4,212322,212821,1
4,232121,232620,1
4,235710,236209,1
4,247977,248476,0
4,253591,254090,1
4,255067,255566,0
4,304892,305391,0
4,316683,317182,1
4,329341,329840,1
4,386638,387137,0
4,388068,388567,0
4,407982,408481,1
4,423309,423808,0
4,434958,435457,1
4,460045,460544,0
4,462286,462785,1
4,483669,484168,1
4,505174,505673,1
4,541634,542133,0
4,554973,555472,1
4,567401,567900,1
4,575880,576379,0
4,578874,579373,0
4,613702,614201,0
4,638559,639058,0
4,639744,640243,1
4,662071,662570,0
4,702845,703344,1
4,731252,731751,0
4,748222,748721,1
4,753002,753501,1
4,796102,796601,0
4,806042,806541,1
4,816250,816749,0
4,831109,831608,0
4,904703,905202,0
4,913724,914223,1
4,921545,922044,1
4,936019,936518,0
4,970130,970629,0
4,981185,981684,0
4,986589,987088,0
4,1016585,1017084,1
4,1056702,1057201,0
4,1057669,1058168,1
4,1093090,1093589,0
4,1109889,1110388,1
4,1130659,1131158,1
4,1146036,1146535,0
4,1152650,1153149,0
4,1154507,1155006,0
4,1159230,1159729,1
4,1165836,1166335,1
4,1199127,1199626,0
4,1223568,1224067,0
4,1240616,1241115,1
4,1252944,1253443,0
4,1276169,1276668,1
4,1281547,1282046,0
4,1302381,1302880,1
4,1353297,1353796,1
4,1355590,1356089,0
4,1385148,1385647,1
4,1397348,1397847,0
4,1404081,1404580,1
4,1442097,1442596,0
4,1451542,1452041,0
4,1453921,1454420,0
4,1461731,1462230,1
4,1486686,1487185,1
5,3755,4254,1
5,11705,12204,1
5,25631,26130,0
5,29352,29851,0
5,59238,59737,1
5,70515,71014,0
5,93793,94292,1
5,145432,145931,1
5,169720,170219,0
5,173489,173988,1
5,185778,186277,0
5,192458,192957,1
5,212272,212771,1
5,222477,222976,0
5,232865,233364,0
5,262609,263108,0
5,276036,276535,1
5,278042,278541,1
5,287337,287836,1
5,294146,294645,0
5,301563,302062,1
5,328229,328728,0
5,345259,345758,0
5,352521,353020,0
5,353411,353910,1
5,381330,381829,0
5,392123,392622,0
5,406620,407119,1
5,438867,439366,1
5,442377,442876,1
5,510029,510528,0
5,520711,521210,1
5,537518,538017,0
5,547295,547794,0
5,549543,550042,1
5,566621,567120,0
6,17593,18092,0
6,31049,31548,0
6,55378,55877,0
6,68487,68986,1
6,104320,104819,1
6,106310,106809,0
6,108104,108603,0
6,113661,114160,0
6,118454,118953,1
6,127603,128102,1
6,135585,136084,1
6,157990,158489,0
6,164874,165373,0
6,167552,168051,1
6,177180,177679,0
6,199107,199606,1
6,216224,216723,1
6,219917,220416,0
6,253308,253807,1
6,256090,256589,1
7,17626,18125,1
7,51395,51894,0
7,64222,64721,1
7,75680,76179,0
7,83590,84089,0
7,104838,105337,0
7,111835,112334,1
7,117466,117965,1
7,127629,128128,0
7,154950,155449,0
7,163153,163652,1
7,187225,187724,1
7,203063,203562,0
7,203875,204374,1
7,231509,232008,1
7,240948,241447,1
7,285755,286254,1
7,290570,291069,0
